train_name;category;problem;reason;solution;id
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Дизель идет вразнос (резко увеличивается частота вращения коленчатого вала).;['Нарушен привод объединённого регулятора дизеля.', 'Заклинивание насосов блока топливных насосов.'];['Следовать на одной секции.', 'Неисправный топливный насос отключить.'];21
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Дизель работает неустойчиво, наблюдается резкое колебание частоты вращения (по тахометру).;['Неисправен регулятор частоты вращения.'];['Проверить уровень масла в регуляторе.'];22
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Низкое давление масла в системе смазки.;['Пониженная вязкость масла вследствие его перегрева.', 'Пониженная вязкость масла в следствии попадания топлива.', 'Пропуск масла по соединениям нагнетательного трубопровода.', 'Недостаточное количество масла в картере дизеля.'];['Проверить работу вентилятора, открытия жалюзи. Добейтесь снижения температуры масла.', 'Проверить уровень масла в картере дизеля, при повышения уровня, остановить дизель и следовать до депо.', 'Проверьте плотность соединения трубопроводов масляной системы.', 'Проверьте уровень масла в картере дизеля, при необходимости добавить.'];23
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Появление давления в картере (показания дифманометра, дымление из заливной горловины, повышенная течь масла по местам соединений и люкам).;['Неисправен поршень (имеется трещина или прогар).'];['Немедленно остановите дизель.'];24
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;При наборе позиций обороты дизеля увеличиваются, включается только РУ4, реверсор не разворачивается в нужном направлении;['Не включен ЭПК-150, нет контакта блокировки контакта.', 'Неисправна (сгорела) катушка вентиля реверсора.'];['Включить ЭПК-150.', 'Перевести реверсор ключом вручную.'];25
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;При повышении температуры воды и масла вентилятор холодильника не увеличивает частоту вращения.;['Неисправны датчики ДТПМ.'];['Перейти на ручное управление.'];26
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.;['Не включается микропереключатель.'];['Перейти на ручное управление. Откройте жалюзи вручную.'];27
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Сброс нагрузки с 1 - ой позиции.;['Перегрев воды охлаждения дизеля или масла.'];['Проверьте работу вентилятора и жалюзи на ручном управлении холодильника. Охладите воду или масло.'];28
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Снижение уровня воды в расширительном баке.;['Утечка воды из системы.'];['Немедленно снимите нагрузку и после снижения температуры воды остановите дизель. Найдите место утечки, устранить по возможности. Дальнейшая эксплуатация допустима после устранения неисправности или заправки системы до необходимого уровня.'];29
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Снимается нагрузка, но дополнительно включается сигнальная лампа 'Реле заземления'.;['Сработало реле заземления. В силовой цепи - пробой на корпус или частичное разрушение изоляции.'];"[""Осмотрите всю силовую цепь. Если повреждение не обнаружено, снимите реле с защелки путём переключения автомата 'Возбуждение' и попытайтесь продолжить движение. Возможно, реле снова срабатывает, а место повреждения все же не обнаружено. Тогда вновь установите реле в нормальное положение и попытайтесь поочередно отключать ОМ1-ОМ6. Когда и это не дает эффекта, рубильником отключите реле заземления и продолжайте движение до основного или оборотного депо, соблюдая повышенное внимание силовой цепи ТЭД, ГГ.""]";30
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Стук, внезапно возникающий при работе дизеля.;['Неисправность шатунно-поршневой группы.'];['Немедленно остановите дизель. До устранения стуков запуск дизеля не допускается.'];31
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;Тепловоз приходит в движение, но по кА и кВ наблюдается обратная полярность.;['Отсутствие напряжения на зажимах СПВ', 'Обрыв цепи независимой обмотки возбуждения СПВ, обрыв ремней привода, зависание щёток, загрязнения колец.', 'Неисправность в цепи АВ или выпрямительного блока В2', 'Неисправность СПВ'];"[""Включить автомат А17 'Подвозбудитель'"", 'Перейти на аварийное возбуждение.', 'Перейти на аварийное возбуждение.', 'Перейти на аварийное возбуждение.']";32
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Верхние жалюзи закрываются, а вентилятор не останавливается.;['Излом пружины золотника в распределительной коробке.', 'Заедание золотника.', 'Засорились сливные отверстия в колоколе.'];['Пружину достать, соединить через шайбу, торцевые части поставить на место.', 'Разобрать и промыть золотник, кольца заменить.', 'Снять смотровой лючок, поворачивая колокол, прочистить отверстия.'];33
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Контактор КМВХ включен, мотор не работает.;['Сгорел предохранитель П253(80А).'];['Заменить предохранитель зарядки АБ (крайний задний).'];34
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Не включается контактор КМВ на автоматическом, и ручном охлаждении.;['Неисправна катушка контактора КМВХ.', 'Обрыв минуса катушки.'];['Контактор включить принудительно, заменить катушку или контактор.', 'Восстановить электрическую цепь минуса.'];35
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Не включаются боковые жалюзи основного контура.;['Неисправен ВПЖ 1.'];['Подключить электропневматический вентиль деревянным клином.'];36
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Не включаются верхние жалюзи.;['Неисправен термостат ВПЖ2.'];['Охлаждать вручную.'];37
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Не открываются жалюзи малого контура охлаждения;['Неисправен термостат РТЖ4.'];"[""Охлаждать вручную включением переключателя РМ в положение 'охлаждение'.""]";38
ЧМЭ3;В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;Электропневматический вентиль, верхние жалюзи включены, вентилятор не работает.;['Неисправен золотник ГМР.', 'Забита трубка к золотниковой коробке или не открыт вентиль от ФТОК к ГМР.', 'Обрыв воздухопровода, от ВПЖ2 к распределительной коробке ГМР.'];['При заглушенном дизеле отсоединить трубку от крышки золотника, снять крышку, вынуть золотник, предварительно проверив свободность его перемещения и отсутствия заедания. Промыть золотник, проверить кольца, собрать.', 'Проверить состояние маслопровода к ГМР и открытие вентиля.', 'Поставить резиновую трубку.'];39
ЧМЭ3;Неисправности дизеля;Дизель не запускается, коленчатый вал проворачивается, рейки топливных насосов на подачу топлива выдвигаются.;['Нет топлива в топливном коллекторе по причине открытия перепускного сливного вентиля в конце топливного коллектора.'];['Вентиль закрыть.'];40
ЧМЭ3;Неисправности дизеля;Дизель не запускается, коленчатый вал разворачивается, рейки топливных насосов на подачу топлива не выходят.;['Сработал регулятор предельного числа оборотов.', 'Заклинило одну или несколько плунжерных пар топливных насосов высокого давления (ТНВД).'];['Восстановить регулятор поворотом рукоятки против стрелки.', 'Выявить неисправные топливные насосы путем последовательного выдвижения реек каждого насоса. Проверить свободность хода реек, если это не удается, отключить ТНВД.'];41
ЧМЭ3;Неисправности дизеля;Дизель после запуска идет в разнос.;['Заклинивание реек топливных насосов в положении максимальной подачи топлива.'];['Выявить неисправные топливные насосы путем последовательного выдвижения реек каждого насоса. Проверить свободность хода реек, если это не удается, отключить ТНВД.'];42
ЧМЭ3;Неисправности дизеля;Дизель работает с дымным выхлопом (дым черный).;['Топливный насос подает слишком много топлива.', 'Неисправна форсунка (одна или несколько)'];['Проверить на слух на нулевой позиции работу цилиндров. У имеющих стук цилиндров, отключить ТНВД.', 'Отключить ТНВД.'];43
ЧМЭ3;Неисправности дизеля;При работе дизеля уровень воды в расширительном баке понижается.;['Течь воды в картер через резиновое уплотнение цилиндровых втулок. Наблюдается парение из сапуна, образование капель воды на сапуне, капельки воды на щупе контроля уровня масла в картере.'];['Заглушить дизель. Дальнейшая эксплуатация тепловоза запрещается.'];44
ЧМЭ3;Отсутствует зарядка АБ;После пуска дизеля стрелка амперметра А2 отклоняется влево от 0 (идет разрядка АБ);['Не отключились силовые контакты КД 1, КД 2, что вызывает нагрев резистора зарядки АБ Р21.', 'Перегорел плавкий предохранитель плюсовой цепи П150 на100 А.'];['Разомкнуть КД1, КД2.', 'Заменить предохранитель П150 на 100А.'];45
ЧМЭ3;Пуск и остановка дизеля;Вал дизеля вращается, но запуска нет.;['Сработал предельный регулятор числа оборотов.'];['Привести предельный регулятор в рабочее положение.'];46
ЧМЭ3;Пуск и остановка дизеля;Выбивает автомат АВ220 'Управление';['Замыкание в цепи кат. ЭМОД'];['Отсоединить провод от катушки ЭМОД заизолировать. Блок-магнит заклинить.'];47
ЧМЭ3;Пуск и остановка дизеля;Дизель запускается нормально, но через некоторое время глохнет (иногда сразу).;['Заело рейки ТНВД на максимальной подаче.', 'Засорение ФТОТ или ФГОТ.', 'Заело обратный клапан на всасывающем трубопроводе.', 'Заедание регулирующего клапана на 2,5 кгс/см2 или излом его пружины.', 'Заедание предохранительного клапана 5,3-5,5 кгс/см2.', 'Топливоподкачивающий насос не обеспечивает подачу топлива.'];['Рейку смазать маслом. Если расходить не удается, отключить ТНВД.', 'Фильтры промыть, продуть воздухом, поставить на место.', 'Разобрать клапан, промыть, поставить на место.', 'Клапан разобрать, устранить заедание, если лопнула пружина, перевернуть торцевыми концами и поставить на место.', 'При заедании произвести остукивание молотком.', 'Проверить наличие топлива в баке, подсос воздуха, попытаться подкачать ручным насосом.'];48
ЧМЭ3;Пуск и остановка дизеля;Дизель запускается с трудом и после запуска глохнет.;['Заедание в подшипниках вала привода ТНВД.'];['Промазать подшипники.'];49
ЧМЭ3;Пуск и остановка дизеля;Дизель запускается с трудом.;['Заклинивание одной из реек ТНВД.'];['Проверить свободность хода реек, если не удается, отключить топливный насос.'];50
ЧМЭ3;Пуск и остановка дизеля;Дизель не запускается при включении КД1, КД2.;['Малая емкость АБ. Якорь генератора вращается со скоростью, недостаточной для запуска дизеля.'];['Открыть индикаторные краны у 3-х цилиндров через один. Вручную замкнуть КД1 и КД2 изолированным предметом, соблюдая при этом ПТБ.'];51
ЧМЭ3;Пуск и остановка дизеля;Дизель не запускается при исправной работе всей электрической аппаратуры.;['Заклинило силовой поршень механической части РЧО.', 'Заедание вертикальной тяги блок-магнита РЧО.', 'Нет давления топлива из-за попадания воздуха в систему.', 'Заклинило плунжер в гильзе ТНВД.', 'Неисправен РЧО - низкое давление масла из-за загрязнения фильтра.'];"[""Открыть боковую крышку РЧО и осторожно ломиком сдвинуть, а затем 'расходить' силовой поршень РЧО."", 'Снять крышку с блок-магнита и его плунжер утопить вручную. При необходимости блок-контакты увязать изоляционной лентой.', 'Открыть заглушки на ФТОТ, прокачать ручным насосом.', 'Отключить неисправный ТНВД и произвести запуск.', 'Промыть щелевой фильтр РЧО, сдать масло на анализ.']";52
ЧМЭ3;Пуск и остановка дизеля;Дизель не запускается при открытых индикаторных кранах и 'выдвижении' реек ТНВД.;['Недостаточная емкость АБ, замыкание в одном или нескольких элементах.'];['Отключить неисправный элемент. Неисправный элемент можно определить по его нагреванию и появлению дыма из элемента в момент запуска дизеля или проверкой элементов пробником. Если эта мера не дает положительных результатов пуск дизеля произвести от АБ другого тепловоза.'];53
